id,code,number,name,parent_id/id,type,active
account_sat.account_sat_226,65.14,600-100-014,Seguros y fianzas,account_sat.account_sat_212,other,True
account_sat.account_sat_227,65.15,600-100-015,Gastos no deducibles,account_sat.account_sat_212,other,True
account_sat.account_sat_228,65.16,600-100-016,Otros impuestos y derechos,account_sat.account_sat_212,other,True
account_sat.account_sat_229,65.17,600-100-017,Recargos fiscales,account_sat.account_sat_212,other,True
account_sat.account_sat_230,65.18,600-100-018,Cuotas y suscripciones,account_sat.account_sat_212,other,True
account_sat.account_sat_231,65.19,600-100-019,Propaganda y publicidad,account_sat.account_sat_212,other,True
account_sat.account_sat_232,65.20,600-100-020,Fotocopiado14,account_sat.account_sat_212,other,True
account_sat.account_sat_233,65.21,600-100-021,Donativos,account_sat.account_sat_212,other,True
account_sat.account_sat_234,65.22,600-100-022,Asistencia técnica,account_sat.account_sat_212,other,True
account_sat.account_sat_235,65.23,600-100-023,Fletes,account_sat.account_sat_212,other,True
account_sat.account_sat_236,65.24,600-100-024,Impuesto de importación,account_sat.account_sat_212,other,True
account_sat.account_sat_237,65.25,600-100-025,Impuesto de exportación,account_sat.account_sat_212,other,True
account_sat.account_sat_238,65.26,600-100-026,Regalías sin retención ,account_sat.account_sat_212,other,True
account_sat.account_sat_239,65.27,600-100-027,Regalías sujetas al 5% ,account_sat.account_sat_212,other,True
account_sat.account_sat_240,65.28,600-100-028,Regalías sujetas al 10%,account_sat.account_sat_212,other,True
account_sat.account_sat_241,65.29,600-100-029,Regalías sujetas al 25% ,account_sat.account_sat_212,other,True
account_sat.account_sat_242,65.30,600-100-030,Regalías sujetas al 30%,account_sat.account_sat_212,other,True
account_sat.account_sat_243,65.31,600-100-031,Comisiones sobre ventas,account_sat.account_sat_212,other,True
account_sat.account_sat_244,65.32,600-100-032,Patentes y marcas,account_sat.account_sat_212,other,True
account_sat.account_sat_245,65.33,600-100-033,Materias primas de producción,account_sat.account_sat_212,other,True
account_sat.account_sat_246,65.34,600-100-034,Materiales auxiliares de producción,account_sat.account_sat_212,other,True
account_sat.account_sat_247,65.35,600-100-035,Comisiones bancarias,account_sat.account_sat_212,other,True
account_sat.account_sat_248,66,601-100-000,Gastos de Ventas,account_sat.account_sat_211,view,True
account_sat.account_sat_249,66.1,601-100-001,Gastos de Ventas,account_sat.account_sat_248,other,True
account_sat.account_sat_250,67,602-100-000,Gastos de Administración,account_sat.account_sat_211,view,True
account_sat.account_sat_251,67.1,602-100-001,Gastos de Administración,account_sat.account_sat_250,other,True
account_sat.account_sat_252,68,603-100-000,Gastos Financieros,account_sat.account_sat_211,view,True
account_sat.account_sat_253,68.1,603-100-001,Gastos Financieros,account_sat.account_sat_252,other,True
account_sat.account_sat_254,69,604-100-000,Otros Gastos,account_sat.account_sat_211,view,True
account_sat.account_sat_255,69.1,604-100-001,Perdida en venta de terrenos,account_sat.account_sat_254,other,True
account_sat.account_sat_256,69.2,604-100-002,Perdida en venta de edificios y construcciones,account_sat.account_sat_254,other,True
account_sat.account_sat_257,69.3,604-100-003,Perdida en venta de maquinaria,account_sat.account_sat_254,other,True
account_sat.account_sat_258,69.4,604-100-004,Perdida en venta de equipo de transporte,account_sat.account_sat_254,other,True
account_sat.account_sat_259,69.5,604-100-005,Perdida en venta de mobiliario y equipo,account_sat.account_sat_254,other,True
account_sat.account_sat_260,69.6,604-100-006,Perdida en venta de equipo de computo,account_sat.account_sat_254,other,True
account_sat.account_sat_261,69.7,604-100-007,Perdida en enajenación de acciones,account_sat.account_sat_254,other,True
account_sat.account_sat_262,69.8,604-100-008,Perdida por deterioro de activos,account_sat.account_sat_254,other,True
account_sat.account_sat_263,69.9,604-100-009,Otros,account_sat.account_sat_254,other,True
account_sat.account_sat_264,70,605-100-000,Participación de los Trabajadores en las Utilidades,account_sat.account_sat_211,view,True
account_sat.account_sat_265,70.1,605-100-001,Participación de los Trabajadores en las Utilidades,account_sat.account_sat_264,other,True
account_sat.account_sat_266,71,606-100-000,Gastos no deducibles,account_sat.account_sat_211,view,True
account_sat.account_sat_267,71.1,606-100-001,Gastos no deducibles,account_sat.account_sat_266,other,True
account_sat.account_sat_268,72,607-100-000,Depreciación contable,account_sat.account_sat_211,view,True
account_sat.account_sat_269,72.1,607-100-001,Depreciación contable de edificios,account_sat.account_sat_268,other,True
account_sat.account_sat_270,72.2,607-100-002,Depreciación contable de maquinaria y equipo,account_sat.account_sat_268,other,True
account_sat.account_sat_271,72.3,607-100-003,Depreciación contable de equipo de transporte15,account_sat.account_sat_268,other,True
account_sat.account_sat_272,72.4,607-100-004,Depreciación contable de mobiliario y equipo,account_sat.account_sat_268,other,True
account_sat.account_sat_273,72.5,607-100-005,Depreciación contable de equipo de cómputo,account_sat.account_sat_268,other,True
account_sat.account_sat_274,72.6,607-100-006,Depreciación contable de otros activos,account_sat.account_sat_268,other,True
account_sat.account_sat_275,73,608-100-000,Amortización contable,account_sat.account_sat_211,view,True
account_sat.account_sat_276,73.1,608-100-001,Amortización contable,account_sat.account_sat_275,other,True
account_sat.account_sat_277,,700-000-000,Cuentas de Orden,account_sat.account_sat_001,view,True
account_sat.account_sat_278,74,700-100-000,CUCA,account_sat.account_sat_277,view,True
account_sat.account_sat_279,74.1,700-100-001,CUCA,account_sat.account_sat_278,other,True
account_sat.account_sat_280,75,701-100-000,CUFIN,account_sat.account_sat_277,view,True
account_sat.account_sat_281,75.1,701-100-001,CUFIN,account_sat.account_sat_280,other,True
