id,code,number,name,parent_id/id,type,nature,active
acc_sat.account_sat_v2_253,201,201-000-000,Proveedores ,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_254,201.01,201-100-001,Proveedores nacionales,acc_sat.account_sat_v2_253,other,A,True
acc_sat.account_sat_v2_255,201.02,201-100-002,Proveedores extranjeros,acc_sat.account_sat_v2_253,other,A,True
acc_sat.account_sat_v2_256,201.03,201-100-003,Proveedores nacionales parte relacionada,acc_sat.account_sat_v2_253,other,A,True
acc_sat.account_sat_v2_257,201.04,201-100-004,Proveedores extranjeros parte relacionada,acc_sat.account_sat_v2_253,other,A,True
acc_sat.account_sat_v2_258,202,202-000-000,Cuentas por pagar a corto plazo,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_259,202.01,202-100-001,Documentos por pagar bancario y financiero nacional,acc_sat.account_sat_v2_258,other,A,True
acc_sat.account_sat_v2_260,202.02,202-100-002,Documentos por pagar bancario y financiero extranjero,acc_sat.account_sat_v2_258,other,A,True
acc_sat.account_sat_v2_261,202.03,202-100-003,Documentos y cuentas por pagar a corto plazo nacional,acc_sat.account_sat_v2_258,other,A,True
acc_sat.account_sat_v2_262,202.04,202-100-004,Documentos y cuentas por pagar a corto plazo extranjero,acc_sat.account_sat_v2_258,other,A,True
acc_sat.account_sat_v2_263,202.05,202-100-005,Documentos y cuentas por pagar a corto plazo nacional parte relacionada,acc_sat.account_sat_v2_258,other,A,True
acc_sat.account_sat_v2_264,202.06,202-100-006,Documentos y cuentas por pagar a corto plazo extranjero parte relacionada,acc_sat.account_sat_v2_258,other,A,True
acc_sat.account_sat_v2_265,202.07,202-100-007,Intereses por pagar a corto plazo nacional,acc_sat.account_sat_v2_258,other,A,True
acc_sat.account_sat_v2_266,202.08,202-100-008,Intereses por pagar a corto plazo extranjero,acc_sat.account_sat_v2_258,other,A,True
acc_sat.account_sat_v2_267,202.09,202-100-009,Intereses por pagar a corto plazo nacional parte relacionada,acc_sat.account_sat_v2_258,other,A,True
acc_sat.account_sat_v2_268,202.10,202-100-010,Intereses por pagar a corto plazo extranjero parte relacionada,acc_sat.account_sat_v2_258,other,A,True
acc_sat.account_sat_v2_269,202.11,202-100-011,Dividendo por pagar nacional,acc_sat.account_sat_v2_258,other,A,True
acc_sat.account_sat_v2_270,202.12,202-100-012,Dividendo por pagar extranjero,acc_sat.account_sat_v2_258,other,A,True
acc_sat.account_sat_v2_271,203,203-000-000,Cobros anticipados a corto plazo,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_272,203.01,203-100-001,Rentas cobradas por anticipado a corto plazo nacional,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_273,203.02,203-100-002,Rentas cobradas por anticipado a corto plazo extranjero,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_274,203.03,203-100-003,Rentas cobradas por anticipado a corto plazo nacional parte relacionada,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_275,203.04,203-100-004,Rentas cobradas por anticipado a corto plazo extranjero parte relacionada,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_276,203.05,203-100-005,Intereses cobrados por anticipado a corto plazo nacional,acc_sat.account_sat_v2_271,other,A,True
